sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Decor,Lighting,2024-10-11,150.44,254.94
SKU0002,Decor,Clocks,2024-05-13,63.41,94.32
SKU0003,Furniture,Bookshelves,2024-12-28,5899.31,12869.1
SKU0004,Bedding,Blankets,2023-11-24,1714.15,2747.09
SKU0005,Kitchen,Small Appliances,2024-08-05,733.22,1453.89
SKU0006,Lighting,Floor Lamps,2025-04-16,645.07,1250.8
SKU0007,Bath,Towels,2024-04-05,2748.96,6722.87
SKU0008,Decor,Clocks,2024-09-22,5711.12,13724.93
SKU0009,Bedding,Sheets,2025-06-03,3367.39,6743.44
SKU0010,Decor,Wall Art,2025-04-07,916.96,1700.3
SKU0011,Lighting,Table Lamps,2024-07-05,814.26,1389.77
SKU0012,Decor,Clocks,2023-10-08,290.36,434.94
SKU0013,Rugs,Runner Rugs,2024-10-16,6128.97,11974.36
SKU0014,Lighting,Floor Lamps,2024-11-27,412.27,643.33
SKU0015,Decor,Wall Art,2023-12-17,3888.07,8782.39
SKU0016,Storage,Cabinets,2025-02-23,709.45,1346.52
SKU0017,Bath,Robes,2024-05-07,4396.4,8588.48
SKU0018,Kitchen,Tableware,2024-03-01,390.1,680.51
SKU0019,Kitchen,Utensils,2023-08-23,1394.61,2446.02
SKU0020,Rugs,Doormats,2024-11-04,7164.68,12954.0
SKU0021,Decor,Clocks,2024-10-19,4041.05,8104.13
SKU0022,Kitchen,Small Appliances,2025-07-16,7255.12,14396.85
SKU0023,Kitchen,Tableware,2025-04-02,3790.67,8518.64
SKU0024,Bedding,Comforters,2024-07-02,292.72,500.98
SKU0025,Furniture,Bookshelves,2024-08-22,529.22,1043.42
SKU0026,Bath,Shower Curtains,2025-05-21,445.1,791.74
SKU0027,Decor,Mirrors,2025-05-10,6595.01,12463.73
SKU0028,Rugs,Doormats,2025-01-31,1291.51,2379.79
SKU0029,Bedding,Mattress Toppers,2023-08-13,370.83,578.34
SKU0030,Lighting,String Lights,2024-02-06,681.51,1151.66
SKU0031,Lighting,Floor Lamps,2023-11-25,3380.69,6606.38
SKU0032,Decor,Lighting,2024-11-27,457.44,797.71
SKU0033,Decor,Clocks,2024-11-18,1503.47,2534.39
SKU0034,Kitchen,Tableware,2023-12-07,864.5,1546.75
SKU0035,Storage,Boxes,2025-04-14,346.54,534.27
SKU0036,Storage,Cabinets,2025-05-25,5920.73,13335.42
SKU0037,Furniture,Storage Units,2024-08-06,161.9,238.97
SKU0038,Rugs,Area Rugs,2024-05-13,175.35,263.0
SKU0039,Decor,Mirrors,2024-01-03,72.76,130.96
SKU0040,Furniture,Sofas,2024-11-19,232.89,370.88
SKU0041,Storage,Baskets,2025-02-01,503.23,883.76
SKU0042,Rugs,Runner Rugs,2024-05-12,7743.91,19334.95
SKU0043,Rugs,Area Rugs,2025-01-06,826.55,1341.82
SKU0044,Furniture,Chairs,2025-05-22,312.88,500.96
SKU0045,Kitchen,Cookware,2024-02-15,433.1,618.22
SKU0046,Decor,Wall Art,2024-06-01,473.72,771.15
SKU0047,Furniture,Bookshelves,2025-04-27,1486.06,2713.68
SKU0048,Lighting,Ceiling Lights,2024-12-22,6297.15,12387.0
SKU0049,Storage,Boxes,2023-09-01,3799.98,7681.0
SKU0050,Decor,Lighting,2024-04-06,7990.73,19954.98
SKU0051,Decor,Clocks,2024-12-13,3591.2,8810.23
SKU0052,Decor,Wall Art,2024-07-06,736.62,1424.25
SKU0053,Bath,Robes,2023-09-19,2046.94,4855.28
SKU0054,Bath,Towels,2025-03-04,673.14,1105.85
SKU0055,Kitchen,Storage Containers,2024-10-04,3263.78,6658.16
SKU0056,Bath,Robes,2024-03-06,1858.0,3601.63
SKU0057,Decor,Mirrors,2024-10-09,51.6,88.15
SKU0058,Bath,Shower Curtains,2024-04-23,6234.0,13668.9
SKU0059,Decor,Lighting,2023-08-12,295.52,512.38
SKU0060,Kitchen,Small Appliances,2025-03-11,188.72,332.06
SKU0061,Furniture,Chairs,2024-12-16,3497.18,6546.56
SKU0062,Storage,Boxes,2024-11-19,489.29,843.69
SKU0063,Storage,Baskets,2025-01-17,7546.92,17717.69
SKU0064,Storage,Boxes,2024-10-19,404.32,583.53
SKU0065,Furniture,Storage Units,2024-12-04,417.46,661.31
SKU0066,Bath,Shower Curtains,2024-12-03,347.01,541.13
SKU0067,Bath,Towels,2024-10-07,1462.22,2573.32
SKU0068,Lighting,Floor Lamps,2025-03-23,767.85,1524.2
SKU0069,Bath,Towels,2025-03-30,4607.38,10642.97
SKU0070,Lighting,String Lights,2023-11-07,2693.87,6545.18
SKU0071,Bedding,Pillows,2025-06-04,4616.35,9989.51
SKU0072,Bedding,Pillows,2024-05-04,476.99,843.47
SKU0073,,Floor Lamps,2024-09-15,3855.71,8042.53
SKU0074,Storage,Shelves,2023-12-30,136.33,227.12
SKU0075,Storage,Boxes,2023-10-28,3805.7,8309.96
SKU0076,Furniture,Chairs,2024-09-29,243.45,397.31
SKU0077,Lighting,String Lights,2024-04-23,1513.44,2730.96
SKU0078,Kitchen,Cookware,2024-10-02,5983.12,13363.2
SKU0079,Decor,Wall Art,2023-08-31,836.96,1405.8
SKU0080,Furniture,Sofas,2024-11-11,1416.91,2702.61
SKU0081,Rugs,Runner Rugs,2023-10-14,3166.61,7243.46
SKU0082,Rugs,Runner Rugs,2024-11-12,345.23,484.08
SKU0083,Decor,Mirrors,2024-12-07,411.85,691.23
SKU0084,Rugs,Area Rugs,2023-12-27,462.86,670.47
SKU0085,Kitchen,Small Appliances,2023-09-05,7927.35,17573.49
SKU0086,Rugs,Doormats,2024-02-19,1745.85,3175.97
SKU0087,Kitchen,Small Appliances,2024-04-15,1627.67,3151.07
SKU0088,Bath,Robes,2024-03-10,3435.48,7241.68
SKU0089,Bath,Shower Curtains,2024-10-14,979.56,1778.95
SKU0090,Kitchen,Utensils,2024-11-25,1540.92,2900.9
SKU0091,Decor,Mirrors,2024-05-28,1313.92,2320.78
SKU0092,Bedding,Blankets,2024-06-16,7676.37,13922.42
SKU0093,Storage,Cabinets,2025-07-13,947.92,1664.54
SKU0094,Storage,Boxes,2024-03-07,172.82,275.52
SKU0095,Storage,Shelves,2023-09-04,6788.85,15661.39
SKU0096,Rugs,Area Rugs,2023-10-21,2161.8,4487.49
SKU0097,Furniture,Sofas,2023-09-30,703.55,1255.61
SKU0098,Furniture,Chairs,2024-06-26,817.49,1414.86
SKU0099,Storage,Shelves,2024-05-14,1752.37,3133.45
SKU0100,Furniture,Chairs,2024-12-02,2411.71,5957.17
SKU0101,Furniture,Sofas,2024-11-08,427.65,705.0
SKU0102,Bedding,Comforters,2024-03-22,2686.34,6617.6
SKU0103,Rugs,Doormats,2024-10-30,751.68,1385.28
SKU0104,Decor,Wall Art,2024-09-04,310.41,549.91
SKU0105,Storage,Cabinets,2024-12-28,316.44,548.15
SKU0106,Bedding,Sheets,2023-08-06,1775.44,3267.1
SKU0107,Decor,Clocks,2025-06-07,1299.12,2422.35
SKU0108,Decor,Clocks,2023-09-25,518.98,917.57
SKU0109,Rugs,Area Rugs,2024-05-02,1453.38,2807.17
SKU0110,Kitchen,Small Appliances,2025-01-20,5130.48,11570.88
SKU0111,Rugs,Runner Rugs,2024-04-29,5554.85,11251.97
SKU0112,Bedding,Sheets,2024-10-07,865.8,1546.21
SKU0113,Storage,Shelves,2025-06-20,1776.43,2971.5
SKU0114,Bedding,Pillows,2024-10-28,919.49,1690.44
SKU0115,Bath,Robes,2025-07-09,7688.38,14299.83
SKU0116,Storage,Cabinets,2023-12-29,360.77,598.29
SKU0117,Rugs,Runner Rugs,2025-07-02,182.41,284.87
SKU0118,Bedding,Pillows,2023-09-09,4214.12,9218.1
SKU0119,Lighting,String Lights,2024-01-03,1027.72,1830.87
SKU0120,Bath,Bath Mats,2024-11-25,374.58,571.69
SKU0121,Kitchen,Utensils,2024-12-10,4905.19,11317.3
